companyId,name,nameEn,kana,corporateNumber,corporationType,nikkeiCode,badges,tags,createdAt,updatedAt,updateDate,updateCount,changeCount,qualificationGrade,prefecture,address,headquartersAddress,postalCode,location,departmentLocation,phoneNumber,contactPhoneNumber,fax,email,companyUrl,contactFormUrl,representativeName,representativeKana,representativeTitle,representativeBirthDate,representativePhone,representativePostalCode,representativeHomeAddress,representativeRegisteredAddress,representativeAlmaMater,executives,executiveName1,executiveName2,executiveName3,executiveName4,executiveName5,executiveName6,executiveName7,executiveName8,executiveName9,executiveName10,executivePosition1,executivePosition2,executivePosition3,executivePosition4,executivePosition5,executivePosition6,executivePosition7,executivePosition8,executivePosition9,executivePosition10,industry,industryLarge,industryMiddle,industrySmall,industryDetail,industries,industryCategories,businessDescriptions,businessItems,businessSummary,specialties,demandProducts,specialNote,capitalStock,revenue,latestRevenue,latestProfit,revenueFromStatements,operatingIncome,totalAssets,totalLiabilities,netAssets,issuedShares,financials,listing,marketSegment,latestFiscalYearMonth,fiscalMonth,fiscalMonth1,fiscalMonth2,fiscalMonth3,fiscalMonth4,fiscalMonth5,revenue1,revenue2,revenue3,revenue4,revenue5,profit1,profit2,profit3,profit4,profit5,employeeCount,employeeNumber,factoryCount,officeCount,storeCount,averageAge,averageYearsOfService,averageOvertimeHours,averagePaidLeave,femaleExecutiveRatio,established,dateOfEstablishment,founding,foundingYear,acquisition,clients,suppliers,subsidiaries,affiliations,shareholders,banks,bankCorporateNumber,departmentName1,departmentName2,departmentName3,departmentName4,departmentName5,departmentName6,departmentName7,departmentAddress1,departmentAddress2,departmentAddress3,departmentAddress4,departmentAddress5,departmentAddress6,departmentAddress7,departmentPhone1,departmentPhone2,departmentPhone3,departmentPhone4,departmentPhone5,departmentPhone6,departmentPhone7,overview,companyDescription,businessDescriptions,salesNotes,urls,profileUrl,externalDetailUrl,facebook,linkedin,wantedly,youtrust,metaKeywords
1,一般財団法人立仁会,,,6230005000198,,,,,,,,,,,,富山県富山市杉谷２６３０番地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000000,,,,,,,,,,非上場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,光不動産株式会社,,,3230001016928,,,,BtoB; BtoC; 不動産投資物件仲介事業,,,,,,,,富山県富山市五福５６７６番地１,,,,,076-482-3057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,建設・不動産・設備,不動産賃貸・仲介,,,建設・不動産・設備 不動産賃貸・仲介,,,,,,,,,20000000,,,,,,,,,,非上場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,光不動産株式会社は富山大学周辺の賃貸物件を中心に、アパート、マンション、貸家などの情報を提供する不動産会社です。独自の賃貸情報を活用し、地元密着のサービスを展開しています。また、賃貸仲介、管理、リフォーム、土地活用を手掛けるほか、自社物件や一般住宅、収益物件の売却や買取りにも対応しています。地域の特性を熟知したスタッフが、安心して物件探しをサポートします。,,,,,,,,,,,
100,有限会社ダイワ建設,,,2230002001946,,,,BtoC; 学生寮運営事業; マルチテナント賃貸事業,,,,,,,,富山県富山市五福３７２番地１,,,,,076-433-3992,,,,,,久郷賢志,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,建設・不動産・設備,"不動産賃貸・仲介,建設・不動産・設備",家・事業所向け設備,,建設・不動産・設備 不動産賃貸・仲介; 建設・不動産・設備 家・事業所向け設備,,,,,,,,,24000000,,,,,,,,,,非上場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有限会社ダイワ建設は、主に賃貸物件の仲介、管理、企画立案を行っています。また、不動産の仲介や売買も手掛けており、幅広い不動産関連サービスを提供しています。さらに、損害保険代理店としての業務も展開しており、顧客のニーズに応じたさまざまなサービスを提供しています。設立は平成元年（1989年）で、富山県の富山市に拠点を持ち、地域密着型の運営スタイルで信頼を築いています。,,,,,,,,,,,
1000,富山県酒造協同組合,,,8230005000659,,,,,,,,,,,,富山県富山市丸の内２丁目２番１０号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,非上場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,コンテンツクリエイトジャパン株式会社,,,4230001015441,,,,,,,,,,,,富山県富山市婦中町希望ケ丘５９６番地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,非上場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,株式会社ＦＫ,,,7200001039812,,,,,,,,,,,,岐阜県羽島郡岐南町上印食３丁目７３番地２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,非上場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000,株式会社エイチ・エル・シー,,,2430001025884,,,,BtoB,,,,,,,,北海道札幌市中央区大通西２０丁目２番１８号,,,,,,,,sales@hlc.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,その他,,,その他 その他,,,,,,,,90000000,7728000000,,,,,,,,,,非上場,,,3,,,,,,,,,,,,,,,,865,,,,,,,,,,,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,株式会社エイチ・エル・シーは、1991年に設立され、システム設計・開発、システム運用、システムインフラ構築を核心事業とする企業です。特にIT運用自動化やSaaSソリューションの提供に注力しており、幅広い業界に向けて高度な技術力を活かしたサービスを展開しています。取引先には大手企業が多数含まれており、信頼性の高いシステムとサービスを提供することで顧客満足を追求しています。全社員数は865名で、情報セキュリティ、環境マネジメント、および個人情報保護の認証も取得しており、持続可能な社会の実現に向けた取り組みも行っています。,,,,,,,,,,,
100000000,共同事業協会,,,100000000,,,,,,,,,,,東京都,東京都品川区北品川1丁目9番7号　トップルーム品川1015号,,140-0001,,,,,,,,,樋口空,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,非上場,,,,,,,,,,,,,,,,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000001,札幌トヨタ自動車株式会社,,,2430001020191,,,,BtoB; BtoC; 中古車査定買取事業,,,,,,,,北海道札幌市中央区北一条西７丁目３番地８,,,,,011-231-3111,,,,,,相茶 省三,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小売・EC,"新車販売,小売・EC","自動車部品販売,金融・保険",保険代理店,小売・EC 新車販売; 小売・EC 自動車部品販売; 金融・保険 保険代理店,,,,,,,,240000000,59240000000,,,,,,,,,,非上場,,,3,,,,,,,,,,,,,,,,820,,,,,,,,,,,,,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,札幌トヨタ自動車株式会社は、1946年に設立された自動車販売及びサービスを提供する企業で、北海道のトヨタディーラーの中核を担っています。自動車の販売、修理、リース、自動車学校、保険代理店など、多岐にわたる事業を展開しており、地域に密着したサービスを提供しています。現在、724名の従業員を擁し、2023年度の売上高は592億円に達しています。トヨタ車の取扱やレクサス事業も行い、地域-basedな企業として地元企業と連携しながら持続可能な社会への貢献を目指しています。,,,,,,,,,,,
1000002,株式会社HBA,,,8430001022439,,,,BtoB; システムアドバイザリー事業; 契約書代行業務,,2025-12-04T02:02:29.972Z,,,,,,北海道札幌市中央区北4条西7丁目1番地8,,,,,011-231-8301,,,,http://www.hba.co.jp/,,伊藤尚樹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,情報通信業; 学術研究・専門・技術サービス業,情報サービス業; 専門サービス業（他に分類されないもの）,ソフトウェア業; 情報処理・提供サービス業; その他の専門サービス業,受託開発ソフトウェア業; 組込みソフトウェア業; 情報処理サービス業; 他に分類されない専門サービス業,その他 その他,,,,,,,,100000000,10000000000,,,,,,,,,,非上場,,,3月,,,,,,,,,,,,,,,,800,,,,,,,,,,1964年4月16日,,,1964,,,,,,,,8430001022439,,,,,,,,,,,,,,,,,,,,,,株式会社ＨＢＡは、ITを通じて社会全体の課題解決に取り組むソリューション企業です。官公庁、自治体、メーカー、インフラ企業、小売業など、幅広い業種にサービスを提供。主な事業には、巡視点検ロボットソリューション、医療費助成事務支援システム、販売管理システムなどがあり、業務プロセス改善やAI・ロボット・XR技術の導入を支援します。特に、技術継承サポートソリューションに注力し、持続可能な社会の実現を目指しています。,,,,,,,,,,,
